ZIP (character),ZIP (numeric),state
02493,2493,MA
02494,2494,MA
02495,2495,MA
02532,2532,MA
02534,2534,MA
02535,2535,MA
02536,2536,MA
02537,2537,MA
02538,2538,MA
02539,2539,MA
02540,2540,MA
02541,2541,MA
02542,2542,MA
02543,2543,MA
02552,2552,MA
02553,2553,MA
02554,2554,MA
02556,2556,MA
02557,2557,MA
02558,2558,MA
02559,2559,MA
02561,2561,MA
02562,2562,MA
02563,2563,MA
02564,2564,MA
02565,2565,MA
02568,2568,MA
02571,2571,MA
02573,2573,MA
02574,2574,MA
02575,2575,MA
02576,2576,MA
02584,2584,MA
02601,2601,MA
02630,2630,MA
02631,2631,MA
02632,2632,MA
02633,2633,MA
02634,2634,MA
02635,2635,MA
02637,2637,MA
02638,2638,MA
02639,2639,MA
02641,2641,MA
02642,2642,MA
02643,2643,MA
02644,2644,MA
02645,2645,MA
02646,2646,MA
02647,2647,MA
02648,2648,MA
02649,2649,MA
02650,2650,MA
02651,2651,MA
02652,2652,MA
02653,2653,MA
02655,2655,MA
02657,2657,MA
02659,2659,MA
02660,2660,MA
02661,2661,MA
02662,2662,MA
02663,2663,MA
02664,2664,MA
02666,2666,MA
02667,2667,MA
02668,2668,MA
02669,2669,MA
02670,2670,MA
02671,2671,MA
02672,2672,MA
02673,2673,MA
02675,2675,MA
02702,2702,MA
02703,2703,MA
02712,2712,MA
02713,2713,MA
02714,2714,MA
02715,2715,MA
02717,2717,MA
02718,2718,MA
02719,2719,MA
02720,2720,MA
02721,2721,MA
02722,2722,MA
02723,2723,MA
02724,2724,MA
02725,2725,MA
02726,2726,MA
02738,2738,MA
02739,2739,MA
02740,2740,MA
02741,2741,MA
02742,2742,MA
02743,2743,MA
02744,2744,MA
02745,2745,MA
02746,2746,MA
02747,2747,MA
02748,2748,MA
02760,2760,MA
02761,2761,MA
02762,2762,MA
02763,2763,MA
02764,2764,MA
02766,2766,MA
02767,2767,MA
02768,2768,MA
02769,2769,MA
02770,2770,MA
02771,2771,MA
02777,2777,MA
02779,2779,MA
02780,2780,MA
02783,2783,MA
02790,2790,MA
02791,2791,MA
02801,2801,RI
02802,2802,RI
02804,2804,RI
02806,2806,RI
02807,2807,RI
02808,2808,RI
02809,2809,RI
02812,2812,RI
02813,2813,RI
02814,2814,RI
02815,2815,RI
02816,2816,RI
02817,2817,RI
02818,2818,RI
02822,2822,RI
02823,2823,RI
02824,2824,RI
02825,2825,RI
02826,2826,RI
02827,2827,RI
02828,2828,RI
02829,2829,RI
02830,2830,RI
02831,2831,RI
02832,2832,RI
02833,2833,RI
02835,2835,RI
02836,2836,RI
02837,2837,RI
02838,2838,RI
02839,2839,RI
02840,2840,RI
02841,2841,RI
02842,2842,RI
02852,2852,RI
02857,2857,RI
02858,2858,RI
02859,2859,RI
02860,2860,RI
02861,2861,RI
02862,2862,RI
02863,2863,RI
02864,2864,RI
02865,2865,RI
02871,2871,RI
02872,2872,RI
02873,2873,RI
02874,2874,RI
02875,2875,RI
02876,2876,RI
02877,2877,RI
02878,2878,RI
